BioSample	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	colection_date	country	host_status	isolation_source	serovar	specific_host	strain	Assay_Type	AssemblyName	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	Species
SAMEA1690433	ERX166429	236	5652078	2013-01-23	686	337	2013-01-21	ERR191740	ERS135214	SAMEA1690433 ERS135214	2009	USA: Detroit	disease	urethra	ST 1893/NG 860	Homo sapiens	GCGS011	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690458	ERX166430	236	5652079	2013-01-23	552	274	2013-01-21	ERR191741	ERS135215	SAMEA1690458 ERS135215	2009	USA: Detroit	disease	urethra	ST 1893/NG Unknown	Homo sapiens	GCGS012	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690438	ERX166431	236	5652080	2013-01-23	445	221	2013-01-21	ERR191742	ERS135539	SAMEA1690438 ERS135539							GCGS013	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690510	ERX166432	236	5652081	2013-01-23	561	279	2013-01-21	ERR191743	ERS135217	SAMEA1690510 ERS135217							GCGS014	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690491	ERX166433	236	5652082	2013-01-23	415	208	2013-01-21	ERR191744	ERS135218	SAMEA1690491 ERS135218							GCGS015	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690326	ERX166434	236	5652083	2013-01-23	497	246	2013-01-21	ERR191745	ERS135699	SAMEA1690326 ERS135699							GCGS016	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690497	ERX166435	236	5652084	2013-01-23	682	338	2013-01-21	ERR191746	ERS135220	SAMEA1690497 ERS135220	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS017	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690333	ERX166436	236	5652085	2013-01-23	354	175	2013-01-21	ERR191747	ERS135221	SAMEA1690333 ERS135221	2009	USA: Honolulu	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS018	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690502	ERX166437	236	5652086	2013-01-23	442	221	2013-01-21	ERR191748	ERS135541	SAMEA1690502 ERS135541	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS019	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690352	ERX166438	236	5652087	2013-01-23	462	231	2013-01-21	ERR191749	ERS135223	SAMEA1690352 ERS135223	2009	USA: San Diego	disease	urethra	ST 1579/NG 286	Homo sapiens	GCGS020	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690375	ERX166439	236	5652088	2013-01-23	748	369	2013-01-21	ERR191750	ERS135224	SAMEA1690375 ERS135224	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS021	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690477	ERX166440	236	5652089	2013-01-23	440	217	2013-01-21	ERR191751	ERS135542	SAMEA1690477 ERS135542	2009	USA: San Diego	disease	urethra	ST 1901/NG 225	Homo sapiens	GCGS022	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690444	ERX166441	236	5652090	2013-01-23	591	291	2013-01-21	ERR191752	ERS135226	SAMEA1690444 ERS135226	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1405	Homo sapiens	GCGS023	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690431	ERX166442	236	5652091	2013-01-23	426	216	2013-01-21	ERR191753	ERS135227	SAMEA1690431 ERS135227	2009	USA: Honolulu	disease	urethra	ST 7823/NG 1405	Homo sapiens	GCGS024	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690396	ERX166443	236	5652092	2013-01-23	414	208	2013-01-21	ERR191754	ERS135648	SAMEA1690396 ERS135648	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS025	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690504	ERX166444	236	5652093	2013-01-23	310	154	2013-01-21	ERR191755	ERS135229	SAMEA1690504 ERS135229	2009	USA: San Diego	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS026	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690399	ERX166445	236	5652094	2013-01-23	298	148	2013-01-21	ERR191756	ERS135230	SAMEA1690399 ERS135230	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS027	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690423	ERX166446	236	5652095	2013-01-23	398	198	2013-01-21	ERR191757	ERS135544	SAMEA1690423 ERS135544	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS028	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690349	ERX166447	236	5652096	2013-01-23	345	172	2013-01-21	ERR191758	ERS135232	SAMEA1690349 ERS135232	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS029	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690360	ERX166448	236	5652097	2013-01-23	358	177	2013-01-21	ERR191759	ERS135233	SAMEA1690360 ERS135233	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS030	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690401	ERX166449	236	5652098	2013-01-23	375	186	2013-01-21	ERR191760	ERS135545	SAMEA1690401 ERS135545	2009	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS031	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690485	ERX166450	236	5652099	2013-01-23	385	190	2013-01-21	ERR191761	ERS135235	SAMEA1690485 ERS135235	2009	USA: San Diego	disease	urethra	ST 1901/NG New	Homo sapiens	GCGS032	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690441	ERX166451	236	5652100	2013-01-23	362	183	2013-01-21	ERR191762	ERS135236	SAMEA1690441 ERS135236	2009	USA: Los Angeles	disease	urethra	ST 1901/NG 2212	Homo sapiens	GCGS033	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690317	ERX166452	236	5652101	2013-01-23	375	187	2013-01-21	ERR191763	ERS135649	SAMEA1690317 ERS135649	2009	USA: Orange County	disease	urethra	ST 7371/NG 7155	Homo sapiens	GCGS034	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690388	ERX166453	236	5652102	2013-01-23	1063	523	2013-01-21	ERR191764	ERS135238	SAMEA1690388 ERS135238	2009	USA: Los Angeles	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS035	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690417	ERX166454	236	5652103	2013-01-23	811	403	2013-01-21	ERR191765	ERS135239	SAMEA1690417 ERS135239	2009	USA: Orange County	disease	urethra	ST 1901/NG New	Homo sapiens	GCGS036	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690348	ERX166455	236	5652104	2013-01-23	671	331	2013-01-21	ERR191766	ERS135547	SAMEA1690348 ERS135547	2009	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS037	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690327	ERX166456	236	5652105	2013-01-23	349	172	2013-01-21	ERR191767	ERS135241	SAMEA1690327 ERS135241	2009	USA: Los Angeles	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS038	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690361	ERX166457	236	5652106	2013-01-23	524	260	2013-01-21	ERR191768	ERS135242	SAMEA1690361 ERS135242	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS039	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690366	ERX166458	236	5652107	2013-01-23	349	174	2013-01-21	ERR191769	ERS135548	SAMEA1690366 ERS135548	2009	USA: Las Vegas	disease	urethra	ST 7823/NG 1288	Homo sapiens	GCGS040	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690371	ERX166459	236	5652108	2013-01-23	353	176	2013-01-21	ERR191770	ERS135244	SAMEA1690371 ERS135244	2009	USA: Las Vegas	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS041	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690398	ERX166460	236	5652109	2013-01-23	335	167	2013-01-21	ERR191771	ERS135245	SAMEA1690398 ERS135245	2009	USA: Las Vegas	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS042	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690351	ERX166461	236	5652110	2013-01-23	377	188	2013-01-21	ERR191772	ERS135684	SAMEA1690351 ERS135684	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS043	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690462	ERX166462	236	5652111	2013-01-23	484	240	2013-01-21	ERR191773	ERS135247	SAMEA1690462 ERS135247	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS044	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690482	ERX166463	236	5652112	2013-01-23	358	178	2013-01-21	ERR191774	ERS135248	SAMEA1690482 ERS135248	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS045	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690432	ERX166464	236	5652113	2013-01-23	361	179	2013-01-21	ERR191775	ERS135550	SAMEA1690432 ERS135550	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS046	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690340	ERX166465	236	5652114	2013-01-23	392	194	2013-01-21	ERR191776	ERS135250	SAMEA1690340 ERS135250	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS047	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690418	ERX166466	236	5652115	2013-01-23	376	188	2013-01-21	ERR191777	ERS135251	SAMEA1690418 ERS135251	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS048	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690460	ERX166467	236	5652116	2013-01-23	590	292	2013-01-21	ERR191778	ERS135551	SAMEA1690460 ERS135551	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS049	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690453	ERX166468	236	5652117	2013-01-23	415	206	2013-01-21	ERR191779	ERS135253	SAMEA1690453 ERS135253	2009	USA: Las Vegas	disease	urethra	ST 8154/NG 7949	Homo sapiens	GCGS050	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690425	ERX166469	236	5652118	2013-01-23	365	183	2013-01-21	ERR191780	ERS135254	SAMEA1690425 ERS135254	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS051	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690506	ERX166470	236	5652119	2013-01-23	337	167	2013-01-21	ERR191781	ERS135651	SAMEA1690506 ERS135651	2009	USA: Las Vegas	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS052	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690512	ERX166471	236	5652120	2013-01-23	357	177	2013-01-21	ERR191782	ERS135256	SAMEA1690512 ERS135256	2009	USA: Las Vegas	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS053	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690476	ERX166472	236	5652121	2013-01-23	380	189	2013-01-21	ERR191783	ERS135257	SAMEA1690476 ERS135257	2009	USA: Las Vegas	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS054	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690377	ERX166473	236	5652122	2013-01-23	443	223	2013-01-21	ERR191784	ERS135553	SAMEA1690377 ERS135553	2009	USA: Philadelphia	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS055	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690420	ERX166474	236	5652123	2013-01-23	386	192	2013-01-21	ERR191785	ERS135259	SAMEA1690420 ERS135259	2009	USA: Philadelphia	disease	urethra	ST 1901/NG 3169	Homo sapiens	GCGS056	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690322	ERX166475	236	5652124	2013-01-23	783	395	2013-01-21	ERR191786	ERS135260	SAMEA1690322 ERS135260	2009	USA: Phoenix	disease	urethra	ST 1901/NG 3158	Homo sapiens	GCGS057	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690397	ERX166476	236	5652125	2013-01-23	405	201	2013-01-21	ERR191787	ERS135554	SAMEA1690397 ERS135554	2009	USA: Phoenix	disease	urethra	ST 1901/NG 8258	Homo sapiens	GCGS058	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690474	ERX166477	236	5652126	2013-01-23	382	188	2013-01-21	ERR191788	ERS135262	SAMEA1690474 ERS135262	2009	USA: Phoenix	disease	urethra	ST 1901/NG 3709	Homo sapiens	GCGS059	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690456	ERX166478	236	5652127	2013-01-23	580	285	2013-01-21	ERR191789	ERS135263	SAMEA1690456 ERS135263	2009	USA: Phoenix	disease	urethra	ST 1901/NG New	Homo sapiens	GCGS060	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690436	ERX166479	236	5652128	2013-01-23	638	319	2013-01-21	ERR191790	ERS135652	SAMEA1690436 ERS135652	2009	USA: Portland	disease	urethra	ST 1901/NG 3158	Homo sapiens	GCGS061	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690395	ERX166480	236	5652129	2013-01-23	401	197	2013-01-21	ERR191791	ERS135265	SAMEA1690395 ERS135265	2009	USA: Portland	disease	urethra	ST 1580/NG 730	Homo sapiens	GCGS062	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690419	ERX166481	236	5652130	2013-01-23	417	206	2013-01-21	ERR191792	ERS135266	SAMEA1690419 ERS135266	2009	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS063	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
