ArrayExpress_Species	AssemblyName	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Species	strain	Assay_Type	BioProject	Center_Name	Consent	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
		115	SAMEA678465	sra	ncbi	2010-08-31	2017-04-21	ERX2008424	231	Illumina Genome Analyzer II	NT20362J	2012-07-20	201	135	Neisseria meningitidis	2011-03-18	ERR016953	ERS006859	SAMEA678465 ERS006859		OX9931152	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006624	200	Illumina Genome Analyzer II	Maiden Neisseriagroup 4 1	2012-07-20	24	19	unidentified	2011-03-18	ERR016954	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678338	sra	ncbi	2010-08-31	2017-04-21	ERX2008370	222	Illumina Genome Analyzer II	NT20373M	2012-07-22	174	123	Neisseria meningitidis	2011-03-18	ERR016955	ERS006862	SAMEA678338 ERS006862		OX9931238	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678491	sra	ncbi	2010-08-31	2017-04-21	ERX2008379	228	Illumina Genome Analyzer II	NT20373M	2012-07-22	183	131	Neisseria meningitidis	2011-03-18	ERR016956	ERS006871	SAMEA678491 ERS006871		OX9931553	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678216	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008380	213	Illumina Genome Analyzer II	NT20373M	2012-07-22	186	134	Neisseria meningitidis	2011-03-18	ERR016957	ERS006872	9931563-sc-2010-05-07-6450			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678337	sra	ncbi	2010-08-31	2017-04-21	ERX2008371	230	Illumina Genome Analyzer II	NT20373M	2012-07-22	167	118	Neisseria meningitidis	2011-03-18	ERR016958	ERS006863	SAMEA678337 ERS006863		OX9931242	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678046	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008372	228	Illumina Genome Analyzer II	NT20373M	2012-07-22	290	206	Neisseria meningitidis	2011-03-18	ERR016959	ERS006864	9931676-sc-2010-05-07-6442			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678045	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008373	225	Illumina Genome Analyzer II	NT20373M	2012-07-20	227	161	Neisseria meningitidis	2011-03-18	ERR016960	ERS006865	9931249-sc-2010-05-07-6443			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678322	sra	ncbi	2010-08-31	2017-04-21	ERX2008374	222	Illumina Genome Analyzer II	NT20373M	2012-07-20	136	96	Neisseria meningitidis	2011-03-18	ERR016961	ERS006866	SAMEA678322 ERS006866		OX9931268	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678047	sra	ncbi	2010-08-31	2017-04-21	ERX2008375	224	Illumina Genome Analyzer II	NT20373M	2012-07-22	231	164	Neisseria meningitidis	2011-03-18	ERR016962	ERS006867	SAMEA678047 ERS006867		OX9931283	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678058	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008376	218	Illumina Genome Analyzer II	NT20373M	2012-07-22	251	177	Neisseria meningitidis	2011-03-18	ERR016963	ERS006868	9931352-sc-2010-05-07-6446			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678057	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008377	226	Illumina Genome Analyzer II	NT20373M	2012-07-22	213	152	Neisseria meningitidis	2011-03-18	ERR016964	ERS006869	9931436-sc-2010-05-07-6447			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678461	sra	ncbi	2010-08-31	2017-04-21	ERX2008378	226	Illumina Genome Analyzer II	NT20373M	2012-07-22	229	162	Neisseria meningitidis	2011-03-18	ERR016965	ERS006870	SAMEA678461 ERS006870		OX9931550	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006627	200	Illumina Genome Analyzer II	Maiden Neisseria group 5 1	2012-07-22	16	12	unidentified	2011-03-18	ERR016966	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678217	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008405	225	Illumina Genome Analyzer II	NT20384P	2012-07-22	149	101	Neisseria meningitidis	2011-03-18	ERR016967	ERS006873	9931715-sc-2010-05-07-6451			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678375	sra	ncbi	2010-08-31	2017-04-21	ERX2008414	222	Illumina Genome Analyzer II	NT20384P	2012-07-20	150	102	Neisseria meningitidis	2011-03-18	ERR016968	ERS006887	SAMEA678375 ERS006887		OX9932180	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678376	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008415	221	Illumina Genome Analyzer II	NT20384P	2012-07-20	121	84	Neisseria meningitidis	2011-03-18	ERR016969	ERS006886	9932142-sc-2010-05-07-6464			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678214	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008406	223	Illumina Genome Analyzer II	NT20384P	2012-07-22	166	113	Neisseria meningitidis	2011-03-18	ERR016970	ERS006874	9931875-sc-2010-05-07-6452			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678215	sra	ncbi	2010-08-31	2017-04-21	ERX2008407	223	Illumina Genome Analyzer II	NT20384P	2012-07-22	217	149	Neisseria meningitidis	2011-03-18	ERR016971	ERS006875	SAMEA678215 ERS006875		OX9932088	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678212	sra	ncbi	2010-08-31	2017-04-21	ERX2008408	230	Illumina Genome Analyzer II	NT20384P	2012-07-22	254	173	Neisseria meningitidis	2011-03-18	ERR016972	ERS006876	SAMEA678212 ERS006876		OX9931911	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678213	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008409	218	Illumina Genome Analyzer II	NT20384P	2012-07-22	241	165	Neisseria meningitidis	2011-03-18	ERR016973	ERS006877	9931966-sc-2010-05-07-6455			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678040	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008410	226	Illumina Genome Analyzer II	NT20384P	2012-07-20	163	112	Neisseria meningitidis	2011-03-18	ERR016974	ERS006891	9932412-sc-2010-05-07-6469			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678039	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008411	227	Illumina Genome Analyzer II	NT20384P	2012-07-22	247	168	Neisseria meningitidis	2011-03-18	ERR016975	ERS006890	9932389-sc-2010-05-07-6468			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678369	sra	ncbi	2010-08-31	2017-04-21	ERX2008412	218	Illumina Genome Analyzer II	NT20384P	2012-07-22	0	0	Neisseria meningitidis	2011-03-18	ERR016976	ERS006889	SAMEA678369 ERS006889		OX9932386	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678371	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008413	223	Illumina Genome Analyzer II	NT20384P	2012-07-22	162	110	Neisseria meningitidis	2011-03-18	ERR016977	ERS006888	9932316-sc-2010-05-07-6466			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006632	200	Illumina Genome Analyzer II	Maiden Neisseria group 6 1	2012-07-22	15	11	unidentified	2011-03-18	ERR016978	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678378	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008462	227	Illumina Genome Analyzer II	NT20395S	2012-07-20	162	109	Neisseria meningitidis	2011-03-18	ERR016979	ERS006884	9932093-sc-2010-05-07-6462			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678377	sra	ncbi	2010-08-31	2017-04-21	ERX2008463	223	Illumina Genome Analyzer II	NT20395S	2012-07-20	198	134	Neisseria meningitidis	2011-03-18	ERR016980	ERS006885	SAMEA678377 ERS006885		OX9932099	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678376	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008464	219	Illumina Genome Analyzer II	NT20395S	2012-07-20	223	150	Neisseria meningitidis	2011-03-18	ERR016981	ERS006886	9932142-sc-2010-05-07-6464			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678375	sra	ncbi	2010-08-31	2017-04-21	ERX2008465	225	Illumina Genome Analyzer II	NT20395S	2012-07-22	194	131	Neisseria meningitidis	2011-03-18	ERR016982	ERS006887	SAMEA678375 ERS006887		OX9932180	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678371	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008466	215	Illumina Genome Analyzer II	NT20395S	2012-07-22	264	177	Neisseria meningitidis	2011-03-18	ERR016983	ERS006888	9932316-sc-2010-05-07-6466			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678369	sra	ncbi	2010-08-31	2017-04-21	ERX2008467	223	Illumina Genome Analyzer II	NT20395S	2012-07-20	183	123	Neisseria meningitidis	2011-03-18	ERR016984	ERS006889	SAMEA678369 ERS006889		OX9932386	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678039	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008468	229	Illumina Genome Analyzer II	NT20395S	2012-07-20	236	158	Neisseria meningitidis	2011-03-18	ERR016985	ERS006890	9932389-sc-2010-05-07-6468			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678040	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008469	211	Illumina Genome Analyzer II	NT20395S	2012-07-22	286	191	Neisseria meningitidis	2011-03-18	ERR016986	ERS006891	9932412-sc-2010-05-07-6469			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006634	200	Illumina Genome Analyzer II	M.Neisseria pool 11	2012-07-22	30	21	unidentified	2011-03-18	ERR016987	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678401	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008482	233	Illumina Genome Analyzer II	NT201593S	2012-07-22	185	107	Neisseria meningitidis	2011-03-18	ERR016988	ERS006952	2768-sc-2010-05-07-9765			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678336	sra	ncbi	2010-08-31	2017-04-21	ERX2008491	241	Illumina Genome Analyzer II	NT201604E	2012-07-22	179	103	Neisseria meningitidis	2011-03-18	ERR016989	ERS006963	SAMEA678336 ERS006963		2777	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678014	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008492	242	Illumina Genome Analyzer II	NT201602C	2012-07-20	161	95	Neisseria meningitidis	2011-03-18	ERR016990	ERS006954	2778-sc-2010-05-07-9767			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678402	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008493	246	Illumina Genome Analyzer II	NT201601B	2012-07-20	225	129	Neisseria meningitidis	2011-03-18	ERR016991	ERS006955	2779-sc-2010-05-07-9768			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678400	sra	ncbi	2010-08-31	2017-04-21	ERX2008483	234	Illumina Genome Analyzer II	NT201603D	2012-07-22	446	257	Neisseria meningitidis	2011-03-18	ERR016992	ERS006953	SAMEA678400 ERS006953		2769	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678405	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008484	237	Illumina Genome Analyzer II	NT201600A	2012-07-22	236	138	Neisseria meningitidis	2011-03-18	ERR016993	ERS006956	2770-sc-2010-05-07-9769			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678404	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008485	231	Illumina Genome Analyzer II	NT201599B	2012-07-22	149	86	Neisseria meningitidis	2011-03-18	ERR016994	ERS006957	2771-sc-2010-05-07-9770			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678275	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008486	245	Illumina Genome Analyzer II	NT201598A	2012-07-20	280	164	Neisseria meningitidis	2011-03-18	ERR016995	ERS006958	2772-sc-2010-05-07-9771			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678274	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008487	240	Illumina Genome Analyzer II	NT201597W	2012-07-20	135	78	Neisseria meningitidis	2011-03-18	ERR016996	ERS006959	2773-sc-2010-05-07-9772			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678333	sra	ncbi	2010-08-31	2017-04-21	ERX2008488	231	Illumina Genome Analyzer II	NT201596V	2012-07-22	137	78	Neisseria meningitidis	2011-03-18	ERR016997	ERS006960	SAMEA678333 ERS006960		2774	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678334	sra	ncbi	2010-08-31	2017-04-21	ERX2008489	239	Illumina Genome Analyzer II	NT201595U	2012-07-22	123	72	Neisseria meningitidis	2011-03-18	ERR016998	ERS006961	SAMEA678334 ERS006961		2775	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678335	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008490	237	Illumina Genome Analyzer II	NT201594T	2012-07-22	93	55	Neisseria meningitidis	2011-03-18	ERR016999	ERS006962	2776-sc-2010-05-07-9775			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006625	200	Illumina Genome Analyzer II	M.Neisseria pool 13	2012-07-22	34	24	unidentified	2011-03-18	ERR017000	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678221	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008381	228	Illumina Genome Analyzer II	NT201606G	2012-07-20	365	218	Neisseria meningitidis	2011-03-18	ERR017001	ERS006976	2794-sc-2010-05-07-9789			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678219	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008390	236	Illumina Genome Analyzer II	NT201615H	2012-07-20	219	131	Neisseria meningitidis	2011-03-18	ERR017002	ERS006978	2804-sc-2010-05-07-9791			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678220	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008391	231	Illumina Genome Analyzer II	NT201616I	2012-07-22	138	84	Neisseria meningitidis	2011-03-18	ERR017003	ERS006977	2795-sc-2010-05-07-9790			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678246	sra	ncbi	2010-08-31	2017-04-21	ERX2008392	239	Illumina Genome Analyzer II	NT201617J	2012-07-22	160	95	Neisseria meningitidis	2011-03-18	ERR017004	ERS006987	SAMEA678246 ERS006987		2803	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678245	sra	ncbi	2010-08-31	2017-04-21	ERX2008382	234	Illumina Genome Analyzer II	NT201607H	2012-07-22	333	199	Neisseria meningitidis	2011-03-18	ERR017005	ERS006986	SAMEA678245 ERS006986		2802	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678248	sra	ncbi	2010-08-31	2017-04-21	ERX2008383	223	Illumina Genome Analyzer II	NT201608I	2012-07-20	456	272	Neisseria meningitidis	2011-03-18	ERR017006	ERS006985	SAMEA678248 ERS006985		2801	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
